,reviews__|,reviews__|__date,reviews__|__content,reviews__|__score,reviews__|__name,Hotel No.,Score,,,,,,,,,,
K15,R52,"Reviewed: February 22, 2018",  \ntoo dirty and lousy\nStayed in February 2018,2.9,Lau,,,,,,,,,,,,
K15,R29,"Reviewed: February 18, 2019",  \nFurniture is old.Needs refurbishment.Washing machine woukd have been a good option.\n  \nLocation is Excellent.Staff is courteous and very helpful.\nStayed in February 2019,7.5,Mir,,,,,,,,,,,,
K15,R30,"Reviewed: February 13, 2019",  \nLocation and the staff,7.5,Abu,,,,,,,,,,,,
K15,R31,"Reviewed: December 4, 2018",  \nNo proper reception area. No documentation. Parking facilities was bear by myself.\n  \nNone\nStayed in December 2018,4.2,Aziz,,,,,,,,,,,,
K15,R38,"Reviewed: August 6, 2018",  \nDirty room old broken furniture AC was not working and fridge was dirty not hygiene at all for kids\n  \nNothing\nStayed in August 2018,3.8,Muhammad,,,,,,,,,,,,
K15,R37,"Reviewed: August 29, 2018",  \nAircon in first room was noisy and wasn't soundproof\n  \nStaff were friendly and accommodating.\nStayed in August 2018,8.8,Jake,,,,,,,,,,,,
K15,R22,"Reviewed: August 16, 2017","  \nThe condition of the apartment especially the bath room\nThe condition of the furniture is the worst We ever saw\nKitchen is not fully prepared\nCleaning service is not proper\nLeak in bathrooms\nBad smell \nWhen it rained,  water leaked inside bathroom\nPoor type of soap, toothpaste and brush not changed\nWIFI is slow and disconnecting ever day\nA lot more!!!!\n  \nThe early communication from the host make easy to get the keys\nStayed in August 2017",5,SalimOman,,,,,,,,,,,,
K15,R62,"Reviewed: August 15, 2017",  \nHouse keeping \n  \nLocation \nStayed in August 2017,10,Anonymous,,,,,,,,,,,,
K15,R6,"Reviewed: August 12, 2018",  \nRoom had a lot of baby crocoaches. Condition was poor. Bed mattress very hard. Room facilities very basic. Local tv channels only.\n  \nService call was prompt. Location fantastic. Secured property with guards and card access. Neighborhood is always buzzing.\nStayed in August 2018,5.4,Fadzillah,,,,,,,,,,,,
K15,R23,"Reviewed: August 11, 2017","  \nSuper experience , room and other privilege were fully acceptation. privacy and security were perfect. all above friendly behaves and understood everything easily.\nStayed in August 2017",9.6,Adam,,,,,,,,,,,,
K15,R13,"Reviewed: April 28, 2018",  \nEverything was old n worn-out. Carpets musty. Poor ventilation. Beds rickety. Dusty. Cob-webs. Bathroom had many broken facilities. \n  \nVery poorly maintained. Totally not like descriped.\nStayed in April 2018,5,Jeanine,,,,,,,,,,,,
K15,R48,"Reviewed: April 26, 2018",  \nMr Mahfuz is very polite and helpful\nStayed in April 2018,10,Ahmad,,,,,,,,,,,,
K15,R24,"Reviewed: April 15, 2019",  \nnice location and good service\nStayed in March 2019,10,EfulEza,,,7.5,8.8,6.8,7.4,7,9,7.7,7.6,Apartment Prime Service Suite @Times Squar,"Times Square Apartments ,Tower A East Wing, No 1, Jalan Imbi , Bukit Bintang, 55100 Kuala Lumpur, Malaysia"
K15,R15,"Reviewed: April 15, 2018","  \nthe tv was not a smart tv, i can't use my harddisk to watch my movies\n  \nthe host was easy to deal with, i absolutely come back again. worth the pay, the wifi was very good!\nStayed in April 2018",9.6,Khairul,,,,,,,,,,,,
K16,R3,"Reviewed: July 31, 2018",  \nnot so clean\nStayed in July 2018,3.3,Zureen,,,,,,,,,,,,
K16,R2,"Reviewed: July 23, 2018","  \nThe only thing available in the apartment was toilet paper. The apartment is dated. They have a washing machine but no instructions on how to use it, nor any washing powder. I've asked the owners to email us instructions on how to use the  washing machine but they never did. The curtains in one of the rooms were there alright but on the floor ! I've contacted the owners for that as well, they asked me to send a picture which I did, but it was never fixed.\n  \nThe location is just perfect ! 10 minutes walk from Suria mall,  and Petronas twin towers. 15 minutes wall from Aquaria. We were upgraded from a one to a two bedroom apartment without any extra costs.\nStayed in July 2018",6.3,BEtrv,,,,,,,,,,,,
K16,R1,"Reviewed: January 1, 2019","  \nChecking in was a nightmare as we are told that there are no room and the agent blame it on booking.com. After 2hours of waiting, finally got a room. The service are poor, the facilities in the apartment are broken. The sofa in the living room and bed room is broken. The toilets are smelly. There are no toiletries. The floor are dirty and blackened your sole. Dust was all over the corner, tv console. The bed stinks of sweat and seems that was not washed. Agent did a very poor job in maintaining the apartment. Both agent(perfect host) and apartment is not even close to perfect. Not recommended to anyone. Upon checking out found out my car was wheel clamp because agent gave us a wrong parking lot. Had to pay to have the wheel clamp removed. When we called the agent, they deny giving us the wrong parking lot and the agent hang up during conversation and mobile phone was switch off. Never have we been so disappointed in our vacation. \n  \nNothing. Poor in all\nStayed in January 2019",2.5,Ana,,,4.1,,3.5,4.4,3.1,6,3.8,4.1,Apartment Parkview KLCC by Perfect Hos,"Jalan Cangkat Perak, 50250 Kuala Lumpur, Malaysia"
K17,R45,"Reviewed: September 2, 2018",  \nThe room was clean but we realized there was a used condom packet under the drawer. The bed was not comfortable.\n  \nRooms were nice and the ambiance of the hotel was good.  The bathrooms were clean and well maintained and the lounge area was excellent.  Security is rather good for this hotel.\nStayed in August 2018,8.8,Josh,,,,,,,,,,,,
K17,R44,"Reviewed: October 8, 2018","  \nThe only thing I would say is that it is hard to sleep before 3-3:30am as the music on the roof is so loud. I realise that it is a party hostel but it is beyond a noise that you can block out with ear plugs!\n  \nI like this place and I've stayed here before. The beds are comfortable, there are ample showers and bathrooms. Everything seems fairly clean. Showers have good heat and power.\nStayed in October 2018",9.2,Anna,,,,,,,,,,,,
K17,R75,"Reviewed: October 2, 2018",  \nGreat place to stay. Close to all main points \nStayed in October 2018,9.2,Carissa,,,,,,,,,,,,
K17,R74,"Reviewed: October 17, 2018",  \nNic\n  \nRoof top bar\nStayed in September 2018,10,Karolina,,,,,,,,,,,,
K17,R43,"Reviewed: October 13, 2018","  \nA bit overpriced, but really worth it if you just want one or two nights of peace and quiet. Then it’s worth it.\n  \nNice and calm place. Neat and clean. Just really comfortable. Good WiFi!\nStayed in October 2018",7.9,Elvira,,,,,,,,,,,,
K17,R72,"Reviewed: November 9, 2018",  \nThe rooftop staff weren't friendly.\n  \nConfortable bed... Bathroom was very clean\nStayed in November 2018,8.3,Australia18,,,,,,,,,,,,
K17,R73,"Reviewed: November 6, 2018","  \nbreakfast is very simple\n  \ngreat location, good atmosphere, good value for the price\nStayed in October 2018",8.8,Diego,,,,,,,,,,,,
K17,R40,"Reviewed: November 6, 2018",  \nNoisy when at night. At rooftop got bar & the music so loud. Issue for those who r not going to the bar. The room not sound proof\n  \n8min walk from nearby LRT & Privacy room \nStayed in November 2018,5.4,Senior Izz,,,,,,,,,,,,
K17,R42,"Reviewed: November 6, 2018","  \nStaff weren’t great, quite inattentive - didn’t really want to help you in any way to make the stay easier, actually we found that they did what they could to make things harder. Bar staff just ignored us on a few occasions when we wanted to order.  \nBreakfast definitely could be better with the amount of people that stay here. \n  \nLocation was great, close to the tube station to take you to KL sentral in no time. Hostel was really clean. Rooftop bar was fine to have a drink \nStayed in November 2018",7.5,A,,,,,,,,,,,,
K17,R71,"Reviewed: November 10, 2018",  \nReceptionist \nStayed in November 2018,9.2,Jagdeep Sharma,,,,,,,,,,,,
K17,R78,"Reviewed: May 8, 2018",  \nNothing to specify\n  \nEverything\nStayed in May 2018,10,Anonymous,,,,,,,,,,,,
K17,R55,"Reviewed: March 8, 2019","  \nWifi wasn’t optimal.\n  \nAmazing location, great bar, good place to meet people.\nStayed in February 2019",9.2,Tim Nederlof,,,,,,,,,,,,
K17,R12,"Reviewed: March 4, 2019",  \nWiFi is unstable. Rather noisy at night. Bathrooms and dorms sometimes not attended.\n  \nDorm rooms were very spacious and clean. Location is excellent. Excellent roof top experience.\nStayed in March 2019,7.5,Anonymous,,,,,,,,,,,,
K17,R13,"Reviewed: March 4, 2019","  \nWe asked for a dorm and got put into a room. The ladder to get into the bed was very dangerous as it is basically vertical, plus it isn’t ideal considering it is a ‘party’ hostel.\nFinally the atmosphere in the hostel did not meet our expectations at all and did not feel like a party hostel.\n  \nBeds were comfy, staff were helpful and relatively friendly and the hostel was in a good location.\nStayed in February 2019",7.9,Darcie,,,,,,,,,,,,
K17,R56,"Reviewed: March 4, 2019",  \nNothing\n  \nGood\nStayed in March 2019,7.9,Zamri,,,,,,,,,,,,
K17,R57,"Reviewed: March 2, 2019",  \nNone\n  \nGood location and party hostel\nStayed in March 2019,10,Piyanat,,,,,,,,,,,,
K17,R5,"Reviewed: March 19, 2019","  \nStaff are not friendly. There was not a smile in 2 nights i stayed here.\nThey ask 30RM for deposit (dont know what for) but didnt give any receipt. When i check out, they forgot that deposit then ask the receipt, anw i have my money already.\nJust 1 adapter for 1 bed\n  \nCleanliness.\nThe nearest station is 3 mins on foot.\nBig locker.\nComfortable bed.\nStayed in March 2019",7.5,HFrank Tran,,,,,,,,,,,,
K17,R6,"Reviewed: March 19, 2019",  \nThe big dormitory is really pleasant cause you have space whereas the 6 bed rooms can make you feel claustrophobic. On we the rooftop bar turn into à night club so that can bring soundbass background noise and drunk neighbours searching for their beds. ..week days are quieter. ..great crew. ..clean. ..cheap...good deal \nStayed in March 2019,6.3,Stephane,,,,,,,,,,,,
K17,R7,"Reviewed: March 18, 2019",  \nThe staircase to all the floors had got a rather steep incline. Better pray that you do not fall while climbing down the steps. Especially after a couple of alchol at the roof top pub. \nThe electrical socket is also in a bad shape because of heavy wear and tear. It is over due for changed. My charger fit very loosely and rocks about.\nThe ladder to the top bunk bed is difficult to climb. You got to be acrobatic.\n  \ngood location with plenty of budget local food.\nStayed in March 2019,4.6,Bernard,,,,,,,,,,,,
K17,R8,"Reviewed: March 17, 2019","  \nSteep stairs :)\n  \nExcellent location, two blocks from the metro station and in the middle of the city. Rooms are super clean and AC works perfect. There are parties on the rooftop but they are not too loud.\nStayed in March 2019",10,Anonymous,,,,,,,,,,,,
K17,R9,"Reviewed: March 17, 2019",  \nThe lady behind the reception is the rudest and the most unfriendly host ever!! The breakfast is is a joke. Better not to mention it. \nI picked this hostel because I’m travelling alone and it looked really populair and social and its known as a party hostel. I only met like 3 people and the rooftop bar was a joke as well. No one was there...\n  \nThe bed was comfy and theres AC and a fan in the room which is nice! The shower is really good!\nStayed in March 2019,6.3,Sophie,,,,,,,,,,,,
K17,R10,"Reviewed: March 14, 2019","  \nThe bathrooms weren't that clean and rude front desk staff. For the price they charge you can get better high-end hostels.\n  \nThe front reception staff was a little rude, but the rest was amazing and pleasant. The vibe is amazing. Great place to meet some cool people and the one hour drink special is awesome (and deadly :D).\nStayed in March 2019",7.5,Bijos25,,,,,,,,,,,,
K17,R54,"Reviewed: March 12, 2019","  \nAll the stairs\n  \nClean rooms, and an absolutely amazing rooftop bar to enjoy the view of the KL and Petronas towers while enjoying some drinks\nStayed in March 2019",8.8,E.Nolet,,,,,,,,,,,,
K17,R80,"Reviewed: March 12, 2018","  \nThe smell, and of course the rat on the ceiling, but it is an old building so I guess it is  unavoidable, old building with wooden flooring.\n  \nLocation\nStayed in March 2018",8.3,Eric Yusok,,,,,,,,,,,,
K17,R11,"Reviewed: March 10, 2019","  \nThe staff , the security staff was unprofessional and a rasict.\nOne receptionist , unprofessional due to the amount of work put upon her resulting on mood swings towards the customers.\nI had a booking from the day before and when I arrived my room was given to someone else.r\n  \nI loved the roof top bar and the music.\nStayed in February 2019",6.5,Khaled,,,,,,,,,,,,
K17,R14,"Reviewed: March 1, 2019","  \nBreakfast is very basic, this is not a problem itself, but boot morning the staff did not replenish coffee, tea or fruit, therefore if things are not available you've to ask for them and the guy did not seem very keen/happy to do it. \nIn fact the second day coffee was finished by 9:30 am, a girl asked for it at 9:45-9:50 and the guy came back at 9:55 saying that as breakfast was until 10 am they would not provide more coffee. It seemed to me kinda unfair.\n  \nLocation was perfect and the life in the rooftop bar provides a very nice place where to end the evening and meet interesting people.\nThe building and the forniture were good-looking and there is a nice book shelf where you can find interesting titles to read in the common area.\nStayed in February 2019",7.9,GIORGIO CREAZZA,,,,,,,,,,,,
K17,R52,"Reviewed: June 21, 2018","  \nThe party in the bar didn't look like the pictures. It was just a standard roof top bar. Nothing special. Don't order the pizza! It was the worst pizza I have ever eaten - they use plastic/spray cheese. So disappointing.\n  \nThe beds were great. Curtains, plugs, lights, and even a mirror!\nStayed in June 2018",7.9,Sara,,,,,,,,,,,,
K17,R77,"Reviewed: June 16, 2018",  \nEasy check in\nFree towel\nNice setting\nRooftop bar\nSocial\nStayed in May 2018,10,Toby,,,,,,,,,,,,
K17,R51,"Reviewed: July 8, 2018","  \nVery welcoming receptionist and very friendly staff especially Holly and Sharon. The spacious rooftop bar is okay, I feel like it’s too big, where I find it hard to social with people as everyone has his/her own corner. I pity the DJ who quarantined in the cold dance room where I can hardly find the entrance. \nStayed in July 2018",9.2,Woon,,,,,,,,,,,,
K17,R76,"Reviewed: July 7, 2018","  \nThe beds are big, clean and comfortable. The bar space upstairs is very sociable, it’s a really well run, fun hostel. \nStayed in July 2018",9.2,Anonymous,,,,,,,,,,,,
K17,R64,"Reviewed: January 9, 2019",  \nNichts \n  \nVery good and beautiful \nStayed in January 2019,10,Ramazan,,,,,,,,,,,,
K17,R65,"Reviewed: January 8, 2019",  \nThe convenience of the hotel \nStayed in January 2019,10,Nicolas,,,,,,,,,,,,
K17,R29,"Reviewed: January 7, 2019",  \nWe were the only people at the rooftop bar (perhaps we came at off season)? Room sheets and towels weren’t the cleanest. \n  \nThe property was spacious and staff were friendly! Bathrooms were clean. \nStayed in January 2019,7.5,Estrella,,,,,,,,,,,,
K17,R66,"Reviewed: January 6, 2019",  \nThe location and near train station. \nStayed in December 2018,8.3,Raslinda,,,,,,,,,,,,
K17,R25,"Reviewed: January 31, 2019","  \nCold atmosphere : the guy at the lobby during the day was neither friendly nor helpful. Hopefully there were other welcoming people in the lobby. People working at the restaurant on the rooftop were not welcoming.\nExtra information : the shower is in the toilet so each time you shower, the toilet is completely flooded.\nIt would be nice to have eggs and fruits included in the breakfast. To have butter would be very appreciated.\n  \nGood location and good facilities : beds in the dorms, nice rooftop\nStayed in January 2019",7.5,Mélissa,,,,,,,,,,,,
K17,R61,"Reviewed: January 28, 2019",  \nDid not hear any reggae \nStayed in January 2019,8.3,Jake,,,,,,,,,,,,
K17,R26,"Reviewed: January 27, 2019",  \nSuperior rooms had no window no fresh air one toilet and bathroom outside to be shared by everybody. Breakfast was bread and tea didn’t be enough staff. Rooms were never cleaned till we checked out\n  \nBasic\nStayed in January 2019,4.6,Priscilla,,,,,,,,,,,,
K17,R27,"Reviewed: January 24, 2019","  \nDie to the rooftop bar/Club you can hear the base, but I didn’t mind that at all.\n  \nBig and comfortable beds, clean showers and toilets. Breakfast was good. Very friendly staff!\nStayed in January 2019",10,Alma,,,,,,,,,,,,
K17,R28,"Reviewed: January 23, 2019","  \nThe staff were really friendly, and the tour was well organised. Everyone was very welcoming. The location was close to a metro station, so it was easy to get to various places in KL (and to the Airport). All the staff members were eager to help in any way as well.\nStayed in December 2018",10,Edward Sperring,,,,,,,,,,,,
K17,R62,"Reviewed: January 20, 2019",  \nLocation with comfortable bed \n  \nStaff is very friendly \nStayed in December 2018,10,MOHAMMAD TANWEER,,,,,,,,,,,,
K17,R63,"Reviewed: January 11, 2019",  \nNothin \n  \n😎😎😂everything at large are good \nStayed in January 2019,10,Kyagaba,,,,,,,,,,,,
K17,R20,"Reviewed: February 8, 2019","  \nIt was very noisy with loud musik from the rooftop bar. But it is a ""party place"" so I can not complain. My bed was smelly and there were black dots on the mattress which were probably mold\n  \nThe staff was super friendly and we had nice conversations. The place is a beautiful old building at a great location.\nStayed in February 2019",7.1,Anonymous,,,,,,,,,,,,
K17,R21,"Reviewed: February 7, 2019","  \nThe food and drink in the bar was quite expensive, you get a voucher booklet, which has three or four offers to get discount, only to be told you can only use ONE of the four vouchers...\n  \nReally nice and clean building. Lovely rooms, lots of space, great decor, comfy beds, great atmosphere. Quick and cheap laundry service. Perfect for backpackers in KL\nStayed in January 2019",10,Simine,,,,,,,,,,,,
K17,R60,"Reviewed: February 6, 2019",  \nPerfect opportunity to meet fellow travelers\nStayed in February 2019,8.8,Lukas,,,,,,,,,,,,
K17,R22,"Reviewed: February 6, 2019",  \nBreakfast is basically just toast so don't expect much there.\n  \nLocation is great if you like to walk or even take grab. The all you can drink beer hour is a great way to meet people if you're a solo traveler like myself. Love the rooftop bar since it has cheap drinks and a nice view of Petronas Towers.\nStayed in February 2019,10,Kenrick,,,,,,,,,,,,
K17,R23,"Reviewed: February 5, 2019","  \nNot sure if they have a 50% discount if you leave a day before your checkout date. Would be great if they did.\nBathrooms could be upgraded a bit, but the shower was awesome\nDidn't hear reggae music haha\n  \nthe room was fairly clean, comfortable bed, rooftop food was good, free breakfast is a bonus. Near central market. Almost all the staff were super awesome\nStayed in February 2019",7.5,Naledi,,,,,,,,,,,,
K17,R15,"Reviewed: February 28, 2019","  \nI dont like the breakfast, is,very poor. The coffe is not working and the room is nothing silence.Because i have the rooftop next to me.\n  \nThe staff, the beds, the location is great. \nStayed in February 2019",9.2,Denisse,,,,,,,,,,,,
K17,R16,"Reviewed: February 23, 2019","  \nThe beds were larger than a single and private. There was plenty space to keep your valuables under your bed and locked away. There was free ice cold water available on each level which saved us buying bottled water. The hostel is a 2 minute walk to the train station where you can get to KLCC and KL Sentral within 10 minutes. The staff were lovely, I would recommend to other travellers! \nStayed in February 2019",10,Stephanie,,,,,,,,,,,,
K17,R17,"Reviewed: February 23, 2019","  \n- there are ants in the second decker of the junk bed in our private room.\n- the second decker is too high to reach. the not fair division between the first and second decker.\n  \n- the bar on top is fun and sociable, good to mingle with people.\n- the whole hostel is designed well, good and enough space.\n- staff very friendly and helpful.\nStayed in February 2019",7.9,Chi,,,,,,,,,,,,
K17,R58,"Reviewed: February 21, 2019","  \nAmazing, I have been traveling for over a year and stayed in many hostels and this one is on of the best. \nStayed in February 2019",10,Danielle,,,,,,,,,,,,
K17,R59,"Reviewed: February 17, 2019",  \nRoom no air con.  Staff racist. \nStayed in February 2019,3.8,Anonymous,,,,,,,,,,,,
K17,R18,"Reviewed: February 13, 2019","  \nNot as expected for a hostel.  I stayed for three nights and there was not a single hostel sponsored event to meet people.  It honestly feels like this place was built around the rooftop bar and they added hostel rooms after to make more money.  Staff wasn't very friendly, the hostel ""pods"" didn't have anywhere to hang anything, and the music from the bar upstairs goes on well past midnight every night.\n  \nLocation is ok, but not the best.  Area gets kind of sketchy at night (was aggressively solicited for sex anytime I left the hostel after dark)\nStayed in January 2019",5,Charlie,,,,,,,,,,,,
K17,R19,"Reviewed: February 11, 2019",  \nSo expensive drinks. Duh! A suggestion for the management of the hotel. Make the drinks cheeper and more guests will attend the bar in the night..\n  \nThe stay was nice. The sleeping blocks are comfy if one must not  to climb the upper level blocks. But it is value for money. I strongly recommend not to drink in the roof top bar. The drinks are extremely over priced and not worth the money. The people who visit the bar in the night are mostly kids so nothing for elders. I mean the crowd is mostly 18 or younger in the night time. \napart from that the breakfast is okay. Nothing much to eat to be precise and I do not call it a breakfast. Apart from that it is a value for money.\nStayed in February 2019,7.1,Taranjit,,,,,,,,,,,,
K17,R39,"Reviewed: December 4, 2018",  \nWas recommended by a friend and we loved our stay. Staff were helpful and friendly. Great facilities. The bunk beds were such a laugh (although VERY high haha). Great location.\nStayed in November 2018,10,Kaitlin,,,,,,,,,,,,
K17,R30,"Reviewed: December 30, 2018",  \nThey gave me a room that I cancelled in advance and my new booking wasn't informed to the staff\n  \nPerfectly separated dorm beds so it was like stay in single room.\nStayed in December 2018,8.3,Moon,,,,,,,,,,,,
K17,R31,"Reviewed: December 30, 2018","  \nOne staff member at the reception isn't professional at all, the rest are nice. Water dispenser broken, some lights too, cold shower. Breakkie very simple. Wouldn't recomend it. For same money you can get somewhere more clean and nice.\n  \nNot happy\nStayed in December 2018",3.8,Renata,,,,,,,,,,,,
K17,R68,"Reviewed: December 30, 2018","  \nWell located, excellent staff and good atmosphere in this place. Nice rooftop bar with music!\nStayed in December 2018",8.8,Evelyne,,,,,,,,,,,,
K17,R69,"Reviewed: December 24, 2018","  \nFriendly staff, cozy bed, and totally worthy value  for money\nStayed in December 2018",10,Firdaus,,,,,,,,,,,,
K17,R32,"Reviewed: December 20, 2018",  \nJust a Overpriced place to stay. A party hostel has a party.. where the hell is a party? Just a bar and some music.. \n  \nNever go as a solo traveller. No fun. Its just a hostel with a bar and some music. There is zero management effort. Management needs to learn what a party hostel is.. \nStayed in December 2018,2.5,Unmeshsinh,,,,,,,,,,,,
K17,R33,"Reviewed: December 20, 2018",  \n..\n  \nNever go as a solo traveller. No fun. Its just a hostel with a bar and some music. There is zero management effort. Management needs to learn what a party hostel is.. \nStayed in December 2018,2.5,U,,,,,,,,,,,,
K17,R34,"Reviewed: December 19, 2018",  \nGood location near masjed gamek station and merchante change currency high rate good staff and moderate breakfast but no more than 10 am and very good roof bar every night DJ and parties on weekend with good prices clean beds and wide dorims space well air conditioner\nStayed in December 2018,8.8,Sayed,,,,,,,,,,,,
K17,R70,"Reviewed: December 18, 2018",  \nA party hostel is not a hostel with a bar and a music system. Need to learn a lot from other party hostels.. :)\nStayed in December 2018,2.5,U,,,8.1,9.5,8.4,8.3,8.1,8.8,8,8.3,stel Reggae Mansion Hostel Kuala Lumpur,"53 Jalan Tun H S Lee, 50000 Kuala Lumpur, Malaysia"
K17,R35,"Reviewed: December 17, 2018","  \nFree breakfast was a loaf of bread and jam; don’t even bother with that. Otherwise nice stay and good value for that area. \n  \nGreat location and atmosphere, rooms very peaceful and clean. Also bag storage for long term so that’s very helpful. \nStayed in December 2018",8.8,Casey,,,,,,,,,,,,
K17,R36,"Reviewed: December 15, 2018","  \nThe music from the rooftop was so loud that I couldn’t sleep in my room until 2 in the morning. Had the bed closest to the window, maybe that’s why. Next time better join the party \n  \nNice rooftop bar with pool and beerpong tables. Big lockers and comfy beds.\nStayed in December 2018",7.9,Jakob,,,,,,,,,,,,
K17,R37,"Reviewed: December 14, 2018","  \nMore bathrooms would be useful but overall a great stay! \n  \nVery central and just around the corner from China Town. Clean, spacious private room with good air conditioning. Nice rooftop terrace and common area.\nStayed in December 2018",7.5,Ciara,,,,,,,,,,,,
K17,R38,"Reviewed: December 10, 2018","  \nCinéma seems to be perpetually under renovations.\nBar staff were very pushy. \n  \nFanciest hostel in Malaysia probably...\nAmazingly comfortable pod beds, with privacy curtains etc\nGreat ac, Wi-Fi, hot showers, drinking water fountains etc\nNicest staff \nStayed in November 2018",8.8,Erika,,,,,,,,,,,,
K17,R46,"Reviewed: August 25, 2018","  \nThere’s not much to do in KL but this hostel will surely give you something to look forward to. You’ll never get bored. The location is amazing cause you can literally just walk to the Central Market, the River of Life, Chinatown. Will definitely come back to KL just to party at the rooftop!!\nStayed in August 2018",10,Anonymous,,,,,,,,,,,,
K17,R47,"Reviewed: August 21, 2018","  \nIt is\n  \nReggae Mansion is an amazing hostel but you should be aware of the fact that it is a party hostel. The music continues until 03:00 and my room was right under the music. Apart from that, everything was nice! I would recommend it!\nStayed in August 2018",8.3,Anonymous,,,,,,,,,,,,
K17,R49,"Reviewed: August 21, 2018","  \nNo lift, taking the stairs can be tiring.\n  \nThe staff were very friendly, helpful and interactive; talking to you about your planned day,making suggestion and enquiring how your day went, how lunch,dinner etc went.\nLocation is good, did 90% of my sightseeing on foot.\nHostel beds had curtains which made it very private.\nStayed in August 2018",9.2,Anonymous,,,,,,,,,,,,
K17,R48,"Reviewed: August 21, 2018","  \nFirst of all, I warn those without upper body strength DO NOT choose the top bunk if you are staying in the dorms. What you can't see from the pictures is that the upper bunk is a good 8 or 9 feet off the ground. Climbing up is pretty challenging and one slip is all it would take to have a nasty fall. I found it very inconvenient especially when i needed to take anything up. i had to use my teeth to hold my phone and charger like a dog because i needed both hands to climb up the steep ladder to my bunk. the breakfast is expensive as hell (RM10 for DIY toast and stuff or a small packet of nasi lemak).\n  \nLoved the fact that the hostel was very clean and the decor was just like in the pictures. The place is really pretty, very instagram-worthy, nice ambience and the rooftop bar looks pretty happening. the rooms are fairly soundproof, not too noisy despite the party on the roof. full of tourists and fun people, great if you are a backpacker.\nStayed in August 2018",7.9,Banu,,,,,,,,,,,,
K17,R50,"Reviewed: August 13, 2018",  \nThink they probably could include breakfast for the price\n  \nThe individual beds are super wide and comfy and with the light plug and curtain can be very private which is nice.\nStayed in August 2018,8.3,Hfd123,,,,,,,,,,,,
K17,R3,"Reviewed: April 4, 2019","  \nTHE STAFF.....The lady behind the counter is not supposed to be there, she is not kind at all.... when I checked out she asked me if I actually payed for the night before while the that day I spoke with her and payed her to stay for 1 extra night. Hostel 8/10, staff 3/10.\n  \nNice big hostel, good rooftop bar to get drinks at night\nStayed in April 2019",5.8,Nathan,,,,,,,,,,,,
K17,R4,"Reviewed: April 2, 2019",  \nTop bunk is really High up when climbing especially in the dark. Bathrooms were very warm as no AC in there would nearly need another shower after your shower if you weren’t back in the AC in time. \nQuite a young crowd in the bar at night but hostel wasn’t as busy due to renovations been done in half of it.\n  \nSome members of staff were very helpful with tips for KL and for continuing our malaysia trip. The mirror at the back of the bed was fab so no mirror fights. Good security on the door which was reassuring as was a bit of a dodge area around the block. Air conditioning in rooms was lovely\nStayed in March 2019,9.2,efioa,,,,,,,,,,,,
K17,R53,"Reviewed: April 17, 2019",  \nWifi connection is slow inside the capsule\n  \nComfortable beds and nice roof top bar \nFriendly staff\nStayed in March 2019,10,Ayesh Waran,,,,,,,,,,,,
K17,R79,"Reviewed: April 16, 2018",  \nComfy and private beds and a nice seating area for work/coffee!\nStayed in April 2018,9.2,Jon,,,,,,,,,,,,
K17,R1,"Reviewed: April 15, 2019","  \n1. There's  a dead cockroach  found in the room when I first stepped in the  room.\n2. Since it's  a party hostel, you have to expect noise from the music and please do bear in mind that the bar only will close at 3am.\n3. The stairs to climb up to upper deck was steep and far apart. I almost fell down few times.\n4. The room was old and the painting on wall almost peeled off.\n5. The bar was filled with smokes. Not advisable for non-smokers.\n  \n1. The hot water is good. Strong pressure. \n2. There's  plenty of toilets labelled 'gentlemen' or 'ladies' provided. \n3. Gothic vibe of the whole place.\n4. There's  simple breakfast provided (Didn't  have the chance to try it out as we dined out)\n5. There's fan and air-conditioner provided in the room. \nStayed in April 2019",7.9,"Ken T, 026",,,,,,,,,,,,
K17,R2,"Reviewed: April 12, 2019","  \nThe drinks were kinda overpriced for a hostel.\n  \nClean bed and not tiny, good facilities.\nPlace near metro station, Chinatown.\nThe rooftop bar has a great view of the KL Tower and also has great music playing.\nStayed in April 2019",7.1,Audiscley,,,,,,,,,,,,
K18,R62,"Reviewed: September 8, 2018","  \nThe housekeeping man did not knock on the door as he tried to bring in the towels. He was shocked to know that I was in the room. He apologised quickly. When this happened, I was just standing near the doorway and was about to get ready to leave.\nFrom what I know, usually the housekeeper would usually call out ""housekeeping"" to made the occupant know that he/she is coming in.\nI was staying in room 3616 by the way. And it happened on 6 September around 11 am.\n  \nI like that the staff are accomodating and friendly.never fails to smile at the guests no matter how the day ends.\nStayed in September 2018",8.8,Norherdi,,,,,,,,,,,,
K18,R63,"Reviewed: September 7, 2018",  \nThe noice from the renovation. It’s very irritating\n  \nRoom house keeping is good\nRoom Service waiters very polite \nThe door front line men were very helpful and courtesy\nStayed in September 2018,7.1,Siti,,,,,,,,,,,,
K18,R64,"Reviewed: September 3, 2018",  \nthere is no spray pipe near the toilet....should install a spray pipe beside the toilet\n  \nThe extra bed is comfy...place is cool...place dont have a convenient store or a cafe...the  breakfast is quite expensive\nStayed in September 2018,7.1,Saad,,,,,,,,,,,,
